Country Name,Country Code,2018,2019,2020,2021,2022,2023
Burundi,BDI,11493472.0,11874838.0,12220227.0,12551213.0,12889576.0,12889576.0
Cabo Verde,CPV,571202.0,577030.0,582640.0,587925.0,593149.0,593149.0
Cambodia,KHM,16025238.0,16207746.0,16396860.0,16589023.0,16767842.0,16767842.0
Cameroon,CMR,25076747.0,25782341.0,26491087.0,27198628.0,27914536.0,27914536.0
Canada,CAN,37065084.0,37601230.0,38007166.0,38226498.0,38929902.0,38929902.0
Caribbean small states,CSS,7374650.0,7424102.0,7444768.0,7481877.0,7505478.0,7505478.0
Cayman Islands,CYM,64884.0,66134.0,67311.0,68136.0,68706.0,68706.0
Central African Republic,CAF,5094780.0,5209324.0,5343020.0,5457154.0,5579144.0,5579144.0
Central Europe and the Baltics,CEB,102538451.0,102398537.0,102180124.0,101413176.0,100108221.0,100108221.0
Chad,TCD,15604210.0,16126866.0,16644701.0,17179740.0,17723315.0,17723315.0
Channel Islands,CHI,167259.0,169410.0,171113.0,172683.0,174079.0,174079.0
Chile,CHL,18701450.0,19039485.0,19300315.0,19493184.0,19603733.0,19603733.0
China,CHN,1402760000.0,1407745000.0,1411100000.0,1412360000.0,1412175000.0,1412175000.0
Colombia,COL,49276961.0,50187406.0,50930662.0,51516562.0,51874024.0,51874024.0
Comoros,COM,776313.0,790986.0,806166.0,821625.0,836774.0,836774.0
Congo Dem. Rep.,COD,87087355.0,89906890.0,92853164.0,95894118.0,99010212.0,99010212.0
Congo Rep.,COG,5441062.0,5570733.0,5702174.0,5835806.0,5970424.0,5970424.0
Costa Rica,CRI,5040734.0,5084532.0,5123105.0,5153957.0,5180829.0,5180829.0
Cote d'Ivoire,CIV,25493988.0,26147551.0,26811790.0,27478249.0,28160542.0,28160542.0
Croatia,HRV,4087843.0,4065253.0,4047680.0,3879000.0,3855600.0,3855600.0
Cuba,CUB,11328244.0,11316697.0,11300698.0,11256372.0,11212191.0,11212191.0
Curacao,CUW,159336.0,157441.0,154947.0,152369.0,149996.0,149996.0
Cyprus,CYP,1218831.0,1228836.0,1237537.0,1244188.0,1251488.0,1251488.0
Czechia,CZE,10629928.0,10671870.0,10697858.0,10505772.0,10672118.0,10672118.0
Denmark,DNK,5793636.0,5814422.0,5831404.0,5856733.0,5903037.0,5903037.0
Djibouti,DJI,1057198.0,1073994.0,1090156.0,1105557.0,1120849.0,1120849.0
Dominica,DMA,70823.0,71428.0,71995.0,72412.0,72737.0,72737.0
Dominican Republic,DOM,10765531.0,10881882.0,10999664.0,11117873.0,11228821.0,11228821.0
Early-demographic dividend,EAR,3292896609.0,3334561751.0,3374383528.0,3411268373.0,3447398652.0,3447398652.0
East Asia & Pacific,EAS,2341383691.0,2353856866.0,2363934334.0,2370189840.0,2375162207.0,2375162207.0
East Asia & Pacific (IDA & IBRD countries),TEA,2068898629.0,2080648616.0,2090523535.0,2097669023.0,2103055378.0,2103055378.0
East Asia & Pacific (excluding high income),EAP,2094524854.0,2106391925.0,2116378687.0,2123628421.0,2129112126.0,2129112126.0
Ecuador,ECU,17015672.0,17343740.0,17588595.0,17797737.0,18001000.0,18001000.0
Egypt Arab Rep.,EGY,103740765.0,105618671.0,107465134.0,109262178.0,110990103.0,110990103.0
El Salvador,SLV,6276342.0,6280217.0,6292731.0,6314167.0,6336392.0,6336392.0
Equatorial Guinea,GNQ,1502091.0,1553031.0,1596049.0,1634466.0,1674908.0,1674908.0
Eritrea,ERI,3445374.0,3498818.0,3555868.0,3620312.0,3684032.0,3684032.0
Estonia,EST,1321977.0,1326898.0,1329522.0,1330932.0,1348840.0,1348840.0
Eswatini,SWZ,1160428.0,1169613.0,1180655.0,1192271.0,1201670.0,1201670.0
Ethiopia,ETH,111129438.0,114120594.0,117190911.0,120283026.0,123379924.0,123379924.0
Euro area,EMU,346153001.0,346517987.0,346961127.0,346942979.0,348331511.0,348331511.0
